v2_labels;v3_labels
Verkehr - Auto und Schwerlastverkehr - Taxistand;Verkehr - KFZ - Taxistand
Verkehr - Auto und Schwerlastverkehr - Messung;Verkehr - KFZ - Messung
Verkehr - Auto und Schwerlastverkehr - Parkplatz;Verkehr - KFZ - Parkplatz
Verkehr - Auto und Schwerlastverkehr - Fahrzeugzulassung;Verkehr - KFZ - Fahrzeugzulassung
Verkehr - Auto und Schwerlastverkehr - Elektrotankstelle;Verkehr - KFZ - Elektrotankstelle
Verkehr - Auto und Schwerlastverkehr - Carsharing;Verkehr - KFZ - Carsharing
Verkehr - Auto und Schwerlastverkehr - Bußgeld;Verkehr - KFZ - Bußgeld
Verkehr - Auto und Schwerlastverkehr - Verkehrsaufkommen;Verkehr - KFZ - Verkehrsaufkommen
Verkehr - Auto und Schwerlastverkehr - Autobahn;Verkehr - KFZ - Autobahn
Sonstige - Sonstige;Sonstiges - Sonstiges